Category,question,answer
Adobe Creative Cloud for Students,Do you offer Adobe Acrobat Pro DC licenses for students?,"No, these licenses are only available for active employees.  Students with a Creative Cloud license can utilize the Adobe Acrobat Pro DC app within Creative Cloud."
Adobe site license,Can I install the software on more than one computer?,You are eligible for two instances of the product to be installed under your name. This allows you to sign into Creative Cloud from two different university owned devices (desktop and laptop) at the same time.
Adobe site license,Where can I get assistance with installing the software in a lab or classroom?,"To request installation of the software in a lab or classroom, contact theService Desk."
Adobe site license,I am getting an error message when I attempt to login.  What should I do?,"Please ensure you’ve accepted the Adobe terms and conditions. If you are still experiencing an issue, please open a ticket with theService Deskand provide your netname and the exact error message you receive."
Adobe site license,Does the Adobe site license provide work-at-home licenses for a small fee to eligible faculty and staff?,No. Creative Cloud software covered under the Adobe site license can be installed on university and personally owned computers.
Adobe site license,Who do I contact for a quote for Adobe software not covered under the agreement?,"Adobe Software that is not covered by our agreement with Adobe can be purchased through our software reseller. To obtain a quote, open a ticket with theIT Service Desk. Acrobat Pro DC and Creative Cloud software arenotavailable for purchase because they are available, at no extra cost, under our agreement with Adobe."
AV equipment consultation & implementation,"I would like to upgrade our departments meeting room, however, I don't have a budget. What are my options?",IITS has an audiovisual evergreen program that covers upgrading departmental meeting rooms over a lifecycle of 7 years. You can reach out to our TLCSS team to inquiry about when your room is scheduled to be upgraded.
Classroom and lab software installation,"If my request is to install open source software, does this guarantee the software can be installed?",No – All software needs to be tested on the computer configurations beforehand to assess the feasibility of the request.
Classroom and lab software installation,How quickly can my request be processed and the software installed?,"Each request is different and needs to be assessed individually. Sufficient lead time is required to ensure analysis, testing and installation can be fulfilled before the event."
Classroom and lab software installation,My software is not free and I do not have licenses. Can I still make a request?,Each request is different and needs to be assessed individually. The person analyzing this request will look at licensing and costs associated.
Classroom and lab software installation,Can freeware be installed on a classroom or lab computer?,"Applications or software that are listed as freeware or trial-ware are prohibited on classroom or lab workstations. This is due to licensing restrictions and lack of technical support from vendors. If you require a specific software package installed for teaching purposes, submit a request to the Service Desk using thewebform."
Classroom and lab software installation,What software is already installed in the labs?,"Each lab has its own set of software, depending on the needs of its department and users. For lab availability and a list of installed software, visit the lab's information page:"
Classroom information and support,"My classroom is not in the CC, H, or MB building. Which Service Centre should I contact?","Please contact the closest geographically located Service Centre. For example, all classrooms at the Loyola Campus are supported by the Loyola Service Centre."
Classroom information and support,What happens if the classroom problem cannot be resolved?,"Technicians always do their best to resolve problems immediately and have access to spare equipment in the case of failure. If the problem cannot be resolved, these incidents will be escalated to a higher level support team which will ensure resolution and follow-up with our clients."
Classroom information and support,Can I bring my own laptop to connect to a classroom projector?,"Yes, faculty can plug in their own laptops in all registrar rooms. Currently, HDMI is the standard connection type, although there are some rooms that now support USB-C. If you have an Apple device such as a Macbook or iPad, you will need to supply your own adapter. If you’re unsure of what kind of adapter you need or how to connect your device to the projector, contact the closest Service Centre. Learn more about thetypes of classroomsthat are available to you."
Computer & media labs - Faculty of Arts and Science,What are the lab regulations?,"1. Food and drink are strictly prohibited.2. Phone calls should not be answered in the lab.3. Users must treat the equipment with respect, and be conscious of the students around them."
Computer & media labs - Faculty of Arts and Science,How do I log onto the computer?,"To access the computer, you must log in using the same netname and password as you use to access the Student Hub (for students) or Carrefour (for faculty and staff)."
Computer & media labs - Faculty of Arts and Science,Can I install software on a lab computer?,"Yes – additional software installations can berequestedin computer labs. For more information on how to request additional software, visit theClassroom and lab software installationpage."
Computer & media labs - Faculty of Arts and Science,How do I book a lab?,"To book a lab, submit a completedComputer & media labs request form."
Computer & media labs - Faculty of Arts and Science,How do I request headsets or extra equipment for a lab?,You can request additional equipment in your lab using theComputer & media labs request form.
Computer & media labs - open use,What are the lab regulations?,"1. Food and drink are strictly prohibited.2. Phone calls should not be answered in the lab.3. Users must treat the equipment with respect, and be conscious of the students around them."
Computer & media labs - open use,How do I log into the computer?,"To access the computer, you must log in using your Concordia netname and password."
Computer & media labs - open use,Can I install software on a lab computer?,Only licensed software can be installed on University computers.
Computer & media labs - open use,What is the standard software package installed on PC lab and classroom computers?,"While other software may be present, there is astandard software package installed on PC workstations inclassrooms,open-use labs, andteaching labs."
Computer & media labs - open use,How do I book a lab?,"The 'open use' labs cannot be reserved. For a list of labs that can be reserved, take a look through the labs available forteaching use."
Computer & media labs - open use,Can I access a Library workstation if I’m not a member of the Concordia community?,You may be eligible to access the Library workstations if you meet certain conditions. Visit theGuest Accountspage for more information.
Computer & media labs - teaching use,What are the lab regulations?,"1. Food and drink are strictly prohibited.2. Phone calls should not be answered in the lab.3. Users must treat the equipment with respect, and be conscious of the students around them."
Computer & media labs - teaching use,How do I log into the computer?,"To access the computer, you must log in using your Concordia netname and password."
Computer & media labs - teaching use,Can I install software on a lab computer?,Yes – additional software installations can be requested in computer labs. More information regarding services offered and costs associated is available on theclassroom and lab software installation page.
Computer & media labs - teaching use,What is the standard software package installed on PC lab and classroom computers?,"While other software may be present, there is astandard software package installed on PC workstations inclassrooms, open-use labs, andteaching labs."
Computer equipment decommissioning,What happens to decommissioned equipment?,"Equipment is evaluated and redistributed for internal reuse, university testing and development purposes, donation, or external recycling, in that respective order."
Computer equipment decommissioning,How do I save data off my computer before decommissioning?,"Before a computer is decommissioned, it is the user’s responsibility to identify any data that needs to be retrieved and to take the appropriate measures to safeguard it. If you require assistance with your data management, contact theService Deskfor assistance."
Computer equipment decommissioning,Where is equipment donated?,"If your equipment is not suitable for internal reuse and still usable, it will be donated."
Computer equipment decommissioning,Will the data on my hard-drive be erased?,"IITS or theIT contact for your departmentwill erase the hard disk to ensure that no information can be recovered, using a secure standardized sanitizing method."
Computer equipment decommissioning,Can equipment that is at the end of its lifecycle be reused within the University?,"Concordia Assets that have reached the end of their operational life may be redistributed for University testing and development purposes. Since these devices are at the end of their lifecycle, technical support for these devices is no longer provided."
Computer equipment decommissioning,Can University assets be donated to external organizations for reuse?,Concordia assets are decommissioned and donated to a non-profit organization.
Computer hardware and software provisioning,How can I get help if I don't know which computer to buy?,"Contact theService Deskor your department designatedIT technician or support team. These knowledgeable technicians will be able to provide counsel on equipment, software and migration."
Computer hardware and software provisioning,Why has Concordia chosen to select standard computers?,"There are several reasons. Costs will be significantly reduced by making bulk purchases of fewer models from one contracted manufacturer. Having fewer models creates a consistency among systems deployed throughout the university, improving compatibility and technical hardware and software support. This also means an easier deployment and updating of software by having pre-installed site-licensed software on each computer."
Computer hardware and software provisioning,Why does the computer have to be asset tagged?,Because it makes it clear that the computer belongs to Concordia – no need to provide proof of purchase or receipt.
Computer hardware and software provisioning,How are non-standard computers supported?,Non-standard computers are supported on a best effort basis either by Instructional and Information Technology Services (IITS) or your designated departmentalIT technician or support team.
Computer hardware and software provisioning,Do I own the computer I am purchasing with university funds?,"All computers are the property of Concordia University regardless of the source of funds or whether purchased from the standard list or not. Therefore, the computer must be properly inventoried and asset tagged according to the policy and protected by installing university anti-virus software."
Computer hardware and software provisioning,Who can I contact to help set up my new computer?,"Consult theComputer Supportsection, contact your departmentIT-representative, or contact theService Desk."
Computer hardware and software provisioning,Where can I obtain anti-virus software to install on my computer?,SentinelOne is available for Concordia-owned devices.Learn how to get SentinelOne.
Computer hardware and software provisioning,"If I have an issue with my new computer, how do I get support?",Contact theService Deskor you department'sIT representative.
Computer hardware and software provisioning,What is the difference between the Apple Store for Education and the Apple Store for Education Institution?  Can I purchase a computer with Concordia University funds from the Apple Store for Education?,The Apple Store for Education is not the same as the Apple Store for Education Institution. Any purchase made on the Apple Store for Education is considered a personal purchase and is not considered to be the property of Concordia University.
Computer hardware and software provisioning,What is the return policy for purchasing Apple products? What if I change my mind on the Apple product I just purchased?,"For the educational sector, Apple only accepts the return of unopened products resulting from an Apple shipping or order processing error.  All other sales are final.  The only return exception is if there is a problem with the Apple computer (hardware) upon arrival.  For more information, reviewApple's educational sector return policy."
"Computer labs - Department of Geography, Planning and Environment",How do I sign into the computer?,"To access the computer, you must log in using your Concordia netname and password."
"Computer labs - Department of Geography, Planning and Environment",Can I install software on lab computers?,"No. The installation of software is forbidden and prevented by windows settings. To install software for courses, contactm.burelli@concordia.cawell in advance of the semester when it is to be used. Requests for installation of specialized research software should be sent tohelp@concordia.ca."
"Computer labs - Department of Geography, Planning and Environment",Can I reserve a lab?,"Events compatible with department operations are usually considered favorably (e.g. a software tutorial).  Please contact the person responsible for scheduling,annie.pollock@concordia.ca."
Computer labs - Gina Cody School of Engineering and Computer Science,How do I reserve an ENCS lab?,"ENCS computer labs are located in the Halland the EV buildings. Users require a valid ENCS account to access the computers and to receive the labdoor codes. The labs in the EV building are research labs (i.e. non-teaching labs), restricted to graduate students and research visitors.Lab reservations can only be requested by ENCS faculty and staff."
Computer labs - Gina Cody School of Engineering and Computer Science,How do I start up the computer for a CIISE course?,"To start up, a variety of passwords (e.g. CMOS, root, user, and bootloader passwords) will be given to you by the lab monitor, as needed."
Computer labs - Gina Cody School of Engineering and Computer Science,How do I rebuild the PC for a CIISE course?,"NOTE:Your PC will be completely re-installed if you do this, resulting in all data loss.As such, when a group of students working on a project is assigned one machine, other students should not tamper in any way with another team's computer. You are also entirely responsible for backing up any data on these machines. The University or the IT team are not responsible for any data loss unless explicitly specified."
Computer labs - Gina Cody School of Engineering and Computer Science,I need to use a specific software - where can I find it?,A list of software and the room where it is installed is available through the websites listed below:
Computer labs - John Molson School of Business,What are the lab regulations?,"1. Food and drink are strictly prohibited.2. Phone calls should not be answered in the lab.3. Users must treat the eqipment with respect, and be conscious of the students around them."
Computer labs - John Molson School of Business,How do I log onto the computer?,"To access the computer, you must log in using your Concordia netname and password."
Computer labs - John Molson School of Business,How do I request headsets or extra equipment for a lab?,You can request additional equipment in your lab using theComputer & media labs request form.
Computer support,Is my home computer supported?,No. Support is provided to Concordia owned devices only.
Computer support,Should I contact the Service Desk if my department offers IT support?,"IITS offers personal computer support to all departments without local IT support teams. If your department has a designatedIT technician or support team, please contact them directly."
Computer support,What does Concordia manage on my computer?,"Computers that are managed by Concordia IT departments have presets and settings that defines how a system will look and how it will behave. To ensure security, some settings are restrictive and cannot be changed by the user. These settings are configured specifically for the Concordia community and are imposed to protect the computers and provide a better overall experience."
Computer support,How does Concordia manage my computer?,"Concordia IT departments use a series of system and tools to manage computers and other Concordia devices. The main tools are Microsoft Endpoint Manager, Jamf, Active Directory Group Policies, and scripts."
Computer support,I can no longer use my static IP address to remotely connect to my workstation. How can I connect?,You can remotely connect to your workstation by using your workstation’s hostname. This information can be retrieved from your workstation by opening a web browser and typing in the URL field “myip.concordia.ca” (without the quotes). Your hostname is in the “Host and Domain Name” section.
Computer support,How can I use the VPN and Remote Desktop to connect to my office computer from home?,"To connect to your office computer from home, you first need to connect to the Concordia network by establishing a VPN connection. Once the VPN connection is established, you can use Remote Desktop to connect to your office computer."
Concordia Carrefour,I am unable to log into the Concordia Carrefour. What should I do?,Ensure that you are:
Concordia Carrefour,My personal information is not accepted when I try to reset my password. What should I do?,"Faculty and staff should contact the Service Desk by phone at 514-848-2424, ext. 7613, or by email athelp@concordia.ca."
Concordia Carrefour,Can I change my netname?,"Netnames are computer-generated based on your legal name upon acceptance to Concordia as a staff, faculty or student, or upon submission of an application for admission. Netnames can only be changed in the event of a legal name change."
Concordia Carrefour,How can I change my e-mail address in the Concordia Carrefour?,"To ensure you receive important information from Concordia, please enter your e-mail address in the Concordia Carrefour. Correspondences from professors (including through Moodle), administrators and other Concordia departments will be sent to this e-mail address."
Concordia Carrefour,How do I access the services that are currently on MyConcordia?,"All the services that are currently on the MyConcordia portal are available to you on the Concordia Carrefour via the “My CU Account” page. This page is easily accessed from the landing page, navigation bar and through the sign-in menu drop-down found at the top right-hand side of every concordia.ca page."
Concordia Carrefour,"After the Concordia Carrefour launch, will all older legacy systems that currently require authentication become single sign-on?","Some older legacy systems still require additional authentication because they are not compatible with single-sign-on. As new solutions replace these legacy systems, single sign-on will become the norm for everything available via the Concordia Carrefour."
Concordia Carrefour,Is the MyConcordia portal still  available to employees? Do I have to switch over to the new Concordia Carrefour right away?,The project team is encouraging faculty and staff to explore the Concordia Carrefour and access its many features. The MyConcordia portal is still accessible to give employees time to adapt and become familiar with the new system.
Concordia Carrefour,"After the launch, will all the information on the Concordia Carrefour  match what is on the MyConcordia portal?","All the information on the Concordia Carrefour matches what is on MyConcordia. Both portals will provide access to the same systems and, as such, the same information."
Concordia Carrefour,Where can I find Cspace content?,"All Cspace content has been consolidated and is now available through the new “Services and Resources” page. To avoid broken links during the transition period, there are temporary redirects from every Cspace page to their new location in the Concordia Carrefour."
Concordia Carrefour,Can I access Moodle from the Concordia Carrefour ?,Moodle is accessible through the Concordia Carrefour and no longer requires employees to have to sign in again. Anew pageview will offer faculty and staff a list of all of their current courses.
Concordia Carrefour,Do I have to do anything differently to access any systems if I am working remotely?,"No. There are several subsystems that require employees to connect to Concordia’s Virtual Private Network (VPN) to access them, but the Concordia Carrefour will clearly identify those applications"
Concordia Carrefour,"If I have issues connecting to the Concordia Carrefour, whom should I contact for help?",New and existing employees can contact theService Deskfor any issues connecting to the Concordia Carrefour.
Concordia Carrefour,Do student employees have to log in to both the Student Hub and the Concordia Carrefour ?,"Yes. At this time, student employees will have to manage dual identities through the Student Hub and the Concordia Carrefour by signing in with their student credentials or staff credentials, respectively."
Concordia Carrefour,Are role accounts that provide access to certain applications available for the Concordia Carrefour ?,The same access mechanisms that were used in the MyConcordia portal will apply to the Concordia Carrefour.
Concordia Carrefour,"If I have multiple working roles at Concordia (i.e. a faculty member who is also an administrator), what will I see when I access the Concordia Carrefour ?","Following the first release of the Concordia Carrefour, all employees have access to the same news and events feeds. In subsequent releases, the Concordia Carrefour will be able to identify employees with multiple working roles and present content that is specific to their positions at the university."
Concordia Carrefour,I am retired. Do I have access to the Concordia Carrefour?,"As long as a retired employee maintains their netname, they will be able to access the Concordia Carrefour."
Concordia CRM,I have questions about campus tours. Who can I contact?,"Call us at 514-848-2424, ext. 4779, or email us atTours"
Concordia CRM,I have questions about booking an appointment with someone. Who can I contact?,"Call us at 514-848-2424, ext. 4779"
Concordia CRM,I am unable to log into the CRM. What should I do?,Please contact the IT Service Desk at extension 7613 or byemail
Concordia CRM,I’m interested in studying at Concordia but I have questions before I book my appointment. Who can I contact?,Consult ourquestions page
Concordia Curriculum Management System (CCMS),I need help preparing a curriculum dossier. Who can I contact?,Please emailcurriculum@concordia.cato schedule a session for support in preparing your curriculum change dossier or for more information about the approval process.
Concordia Curriculum Management System (CCMS),I have questions or concerns about accessing the live training for the CCMS. Who can I contact?,Please emailccms@concordia.caif you have any questions about the learning materials after you have been granted access to the Moodle site.
Concordia Curriculum Management System (CCMS),"I need to report a technical issue logging in, or accessing the CCMS. Who can I contact?",Please email theService Deskto report technical bugs related to the CCMS
Concordia Mobile App,I am unable to sign into the Concordia app. What should I do?,Ensure that:
Concordia Mobile App,"Where can I find my class schedule, my grades and my account balance?",These features are located under My account. You will be asked to sign in prior to seeing your personal content.
Concordia Mobile App,"What if the Concordia app contains a mistake in my class schedule, grades, or account balance?","First, you can try to click the ""Refresh"" button located at the bottom of each of these sections. If the data is still incorrect, please contact theService Desk."
Concordia Mobile App,"I am encountering a problem with the app, such as a ""No Internet Connection"" message.","Please make sure you are using the latest version of the app, (3.0 or higher). If you continue to encounter problems with the latest version of the app, please contact theService Desk."
Concordia Mobile App,Who can I contact if I have comments or suggestions?,"For any comments and suggestions related to Concordia’s mobile app, please contactmobile.support@concordia.ca."
Concordia wireless network,What username and password do I use to access the wireless network?,Please use your Concordia E-mail address and the password to login the wireless network.
Concordia wireless network,What platforms are officially supported by Concordia?,"Officially, Concordia supports: Mac OS X, iPhone, iPad, iPod touch, Blackberry, and Android."
Concordia wireless network,Why won't my computer accept new credentials for wireless access?,"When you successfully log on to a wireless or wired network that uses Protected Extensible Authentication Protocol (PEAP) authentication, your credentials are automatically stored in the computer for reuse. This may sometimes interfere with your computer's ability to accept new credentials."
Concordia wireless network,Why should I trust the Public certificate “wireless.concordia.ca”?,"The wireless.concordia,ca certificate is used to prove that the authentication server you are authenticating to is in fact the correct server. It will protect your devices from the some security attacks (e.g. man in middle attack) which can steal your personal information (e.g. credential)."
Concordia wireless network,How do I request a wireless access code?,"To request a guest wireless access code, please fill theweb format least 5 business days prior to your date of usage."
Concordia wireless network,I forgot my access code. How can I retrieve it?,"To retrieve your lost access code, contact theService Desk."
Concordia wireless network,How long is my access code valid?,"Access codes are valid for a maximum of 1 week, but may be deactivated sooner depending on their intended purpose."
Concordia wireless network,Is there a cost associated for requesting access codes?,Charges may apply when requesting access code for over 10 participants.
CONDOR on SharePoint Online,Is it mandatory to use CONDOR to save my documents?,"No. Concordia offers several services to save your documents: CONDOR and departmental drive. As they serve different needs, you decide which service you prefer to use. Should you need help to sort and reorganize your departmental drive, please contact RMA atrecords.management@concordia.ca."
CONDOR on SharePoint Online,What is the difference between Teams and CONDOR?,"Teams is a collaboration tool and should be used to collaborate and have discussions. CONDOR should be used to save, store, share, and keep documents"
CONDOR on SharePoint Online,What are the advantages of using CONDOR?,"CONDOR is a SharePoint service, therefore you can access your content stored in CONDOR from any device (computer, phone, tablet) at any time, if you have an internet connexion."
CONDOR on SharePoint Online,What are the disadvantages of using CONDOR?,CONDOR has limited collaboration capabilities.
CONDOR on SharePoint Online,I already saved documents in Teams; do I also have to use CONDOR?,Teams should be primarily seen as a collaboration tool. It is recommended to use CONDOR to save final version and documents to share.
CONDOR on SharePoint Online,"I am already saving my documents on Google Drive, Drop Box or Box; do I have to use CONDOR?","It is not recommended to save institutional documents on a third-party platform not supported by IITS such as Google Drive, Drop Box or Box. These solutions are easy targets for thieves and malicious individuals. RMA strongly recommends saving your documents in CONDOR to properly protect your information."
CONDOR on SharePoint Online,I am already saving my documents on a departmental drive; do I have to switch to CONDOR?,"As CONDOR and departmental drive serve different needs, you can decide which service you would prefer to use. Should you need help to sort and reorganize your departmental drive, please contact RMA atrecords.management@concordia.ca."
CONDOR on SharePoint Online,I accidentally deleted a document; can I get it back?,"Yes, deleted documents are accessible in the recycle bin for 90 days following the deletion."
CONDOR on SharePoint Online,How do I save a document in CONDOR?,Documents are automatically saved as you are updating the file.
CONDOR on SharePoint Online,How do I share a document in CONDOR?,See instructions onShare SharePoint files or folderson Microsoft's support website.
CONDOR on SharePoint Online,Are there any limitations on my usage of CONDOR?,Your usage must be in accordance with the Policy on IT Security.
ConneXions - John Molson School of Business,I am a student/graduate from another faculty. Are there career resources available to me?,Yes. VisitConcordia’s Career Advising and Professional Success Careerto learn about resources that may be available to you.
ConneXions - John Molson School of Business,I am a JMSB student or alumni and would like to know about other career resources available to me. Where can I find more information?,"John Molson School of Business’ Career Management Services (CMS) has a number of services and resources geared to JMSB students, alumni, and those looking to recruit from the department. For more information, visit theCareer Management Services web page."
Consent Management for Website Privacy,How do I know if I need a Cookie Management tool on my website?,"If you are unsure whether your site needs cookie management or is in compliance with theAct, you can contact theService Deskand our team will perform a scan of your website."
Consent Management for Website Privacy,What should I do if I upgrade or take down my website?,Please contact theService Deskfor assistance.
Consent Management for Website Privacy,What are cookies?,"A cookie is a very small text document stored on your computer or other device (and maintained by your browser) when you visit a website. It often includes a randomized unique identifier so that a website can “recognize” this cookie again on your next visit. Cookies allow the functioning of websites, improve browsing, or provide certain information to website owners, particularly in terms of audience measurement."
Course registration,How do I search for a course?,"To search for a course, follow these steps:"
Course registration,How do I add courses to my shopping cart?,"To add a course to your shopping cart, follow these steps:"
Course registration,How do I enroll in a class?,"To enroll in a course, follow these steps:"
Course registration,How do I drop a course?,"To drop a course, follow these steps:"
Course registration,How do I swap a course?,The swap feature allows you to drop one course and replace it with another. To swap a course:
Course registration,How can I view my advisor's contact information?,"To view your advisor's contact information, follow these steps:"
Departmental drives,Is my data safe?,Your data is stored on a redundant file system and backed up during the day. Data is copied to another location nightly in case of failure of the primary storage system.
Departmental drives,How can I request permission changes?,The folder administrators within your department handle permission changes by contacing theService Desk.
Departmental drives,What is a departmental administrator?,A departmental administrator is someone within your department with authority to make decisions pertaining to access and account management.
Departmental drives,How do I create a new shared folder within my departmental drive?,"If you are the designated departmental administrator, contact theService Deskto request that a shared folder be created or modified within your departmental drive."
Departmental drives,How do I know who has access to my shared files?,The folder administrators will receive a report every semester that lists users with read or read-write access to their shared folder.
Departmental drives,Are their guidelines for naming my new shared folder?,Folder names should have a maximum of 25 characters and include only letters from a-z and hyphens. No other special characters will be accepted.
Departmental drives,Can I change the name of an existing shared folder?,"To change the name of an existing shared folder, the folder's content will need to be migrated to a new folder with the updated name. The previous folder can then be deleted. Requests like this can be processed by contacting theService Desk."
Departmental drives,How do I map a departmental drive on my computer?,Windows
Departmental drives,How can I request permission changes?,"To request file storage or access to existing group file sharing space, the file share owner must contact theService Desk. Should you require access to a shared file already in existence, the Service Desk will need the complete path of the folder at the time of the request."
Departmental drives,What is my quota on the group file share?,Groups are allocated 100GB of storage space.
Departmental drives,How do I authenticate on the group file share?,Files can be accessed from any computer on the Concordia domain using a valid netname and password.
Departmental drives,How do I switch from the group file share to a departmental drive?,Users on the group file sharing system will be contacted to arrange for migration to the departmental drives service.
Desktop as a Service (pilot project),"I do not have a Concordia email address, can I use my personal email?","No, active faculty, staff, and students must activate their Concordia email to use the service, see the following links with instructions forfaculty & staff, or forstudents."
Desktop as a Service (pilot project),I activated my email but I still do not have access?,Please note that email activation may take 48 hours to complete.
Desktop as a Service (pilot project),Do I need to connect to VPN to access the virtual machine?,"No, a VPN connection is not required."
Desktop as a Service (pilot project),I have access but I can’t find the application I need,"Please contact theService Desk, we will get back to you to discuss your requirements and find a solution."
Desktop as a Service (pilot project),What does the Pilot project imply?,"The DaaS pilot project is being offered for a limited duration during the Fall 2020 semester. Following the end of the pilot, decisions will be made to modify, continue, or discontinue the service."
DocuSign,DocuSign Glossary,DocuSign Term
DocuSign,FAQ on electronic signature and the e-signature framework,An e-signature or electronic signature is a signature made electronically that has the same legal value as a handwritten signature. It includes a documented process and audit trail which has the same legal value as a handwritten signature.
DocuSign,FAQ for electronic signature senders,"If you are having issues with DocuSign, please visitDocuSign Support."
DocuSign,FAQ for recipients,See the DocuSign step-by-step guide:How to Sign a Document
DPrint - faculty & staff,Who can use the DPrint departmental devices?,Faculty and staff who have been authorized under their departmental budget code and assigned a user ID.
DPrint - faculty & staff,How do I get a User ID?,"To obtain a User ID (print code), a request must be submitted to the Service Desk viaweb formby someone with signing authority in your department. The request should include the name of the requestor, the new person to be added, the department, and the departmental budget code."
DPrint - faculty & staff,Can I add a new Account ID (budget code) to my User ID?,"Yes, by submitting a request to the Service Desk viaweb formstating the budget code you wish to add. All budget codes will be verified before assigning to a corresponding Account ID."
DPrint - faculty & staff,"How do I report an issue such as a paper jam, ID not working, or quality issue?","For support or to report an issue, submit aweb formwith the following information:"
DPrint - faculty & staff,How can I see usage reports for my department?,"Only DPrint administrators designated in each department can obtain reports. DPrint administrators typically have budget signing authority, are the VOIP coordinator and/or are the department administrator."
DPrint - faculty & staff,"How do I use the device for copying, faxing, or scanning?","Note: if the accounting prompt is not there, press the silver ‘services home’ button then select the service you wish to use.  This will bring up the accounting prompt."
DPrint - faculty & staff,"I need to relocate my DPrint device, what do I do?","To have a device relocated, submit aweb formto the Service Desk a minimum of5 business daysbefore the move will occur."
DPrint - self serve (students),"Who can use the DPrint self-serve printing, copying, and scanning services?","Students, faculty, staff, and guests can use the printing, copying, and scanning services."
DPrint - self serve (students),DPrint is cashless — funds can only be added online,There are three ways to add funds to your DPrint account online:
DPrint - self serve (students),Why won't the DPrint device read my Student ID card?,"For DPrint devices ensure that you are swiping your card correctly. Swipe your student ID card as pictured on the example above the card reader (picture facing away and down, back of card facing you with rectangular boxes facing upward)."
DPrint - self serve (students),Where can I go to have my student ID card replaced?,"For instructions on replacing a lost, stolen or damagedstudent ID card, please contactcardservices@concordia.ca."
DPrint - self serve (students),Can I log into a DPrint device manually?,"Yes, you can still use the DPrint system even if it does not read your student ID card:"
DPrint - self serve (students),"How do faculty, staff, and guests authenticate on DPrint self-serve devices?",To use the self-serve DPrint devices:
DPrint - self serve (students),How do I send a print job to a DPrint device?,Print jobs can be submitted from library and lab computers or by usingWebPrintfrom your personal laptop.
DPrint - self serve (students),How do I select the correct DPrint device for printing?,You can choose from two different printer options:
DPrint - self serve (students),How can I tell which DPrint devices print colour (WC_Colour) and which devices print black and white (Mono)?,A sign on the top of each device identifies them as colour or black and white. A full list of DPrint self-serve devices can be found in the documentation section of this page.
DPrint - self serve (students),"I sent print jobs to the DPrint device, but they are not listed in my print queue. What do I do?",It is likely that you are trying to retrieve your print job from a type of device that does not match the printing option that you selected (colour vs. black and white). Check both types of machines to locate the file you wish to print.
DPrint - self serve (students),How do I copy from a book?,The simplest way is to use the ‘book copying’ function.
DPrint - self serve (students),Why do I get blank pages when I copy from the glass?,It is likely that you have your original on the wrong corner of the glass. Always orient your original to the corner of the glass with thegreen arrow.
DPrint - self serve (students),"How do I copy odd sized originals, ID cards, or delicate paper?",Place the original face down on the glass (corner with green arrow) and cover it with a sheet of blank paper. The devices will automatically detect the original size to be the same as the cover sheet.
DPrint - self serve (students),Can I copy more than one page at a time?,"Yes, and there are two ways to do this:"
DPrint - self serve (students),Why do I get blank pages when I scan from the glass?,It is likely that you have your original on the wrong corner of the glass. Always orient your original to the corner of the glass with thegreen arrow.
