category,question,answer
Eduroam,Eduroam says the certificate is not trusted? (instance 77),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Antivirus,My antivirus software won't update? (instance 78),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Virtual Labs,The virtual desktop is running slowly? (instance 79),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
Canvas,Canvas won't show my grades? (instance 80),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 81),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Antivirus,My antivirus software won't update? (instance 82),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Google Workspace,How do I share a document in Google Drive? (instance 83),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Eduroam,Eduroam says the certificate is not trusted? (instance 84),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 85),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Antivirus,My antivirus software won't update? (instance 86),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Antivirus,My antivirus software won't update? (instance 87),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Moodle,I cannot log in to Moodle? (instance 88),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Accounts,My university account is locked out? (instance 89),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 90),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
VPN,My VPN won't connect off campus? (instance 91),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 92)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Accounts,My university account is locked out? (instance 93),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Canvas,Canvas won't show my grades? (instance 94),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Canvas,Canvas won't show my grades? (instance 95),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Virtual Labs,The virtual desktop is running slowly? (instance 96),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 97),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Antivirus,My antivirus software won't update? (instance 98),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Eduroam,Eduroam says the certificate is not trusted? (instance 99),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 100),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Antivirus,My antivirus software won't update? (instance 101),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Google Workspace,How do I share a document in Google Drive? (instance 102),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Canvas,Canvas won't show my grades? (instance 103),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 104),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 105)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Moodle,I cannot log in to Moodle? (instance 106),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 107),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 108)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Canvas,Canvas won't show my grades? (instance 109),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Antivirus,My antivirus software won't update? (instance 110),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Accounts,My university account is locked out? (instance 111),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Teams,My Teams audio or video isn't working? (instance 112),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Accounts,My university account is locked out? (instance 113),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Accounts,My university account is locked out? (instance 114),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
VPN,My VPN won't connect off campus? (instance 115),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Moodle,I cannot log in to Moodle? (instance 116),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 117),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Accounts,My university account is locked out? (instance 118),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 119),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 120),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Moodle,I cannot log in to Moodle? (instance 121),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Google Workspace,How do I share a document in Google Drive? (instance 122),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Moodle,I cannot log in to Moodle? (instance 123),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Virtual Labs,The virtual desktop is running slowly? (instance 124),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
Virtual Labs,The virtual desktop is running slowly? (instance 125),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
VPN,My VPN won't connect off campus? (instance 126),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 127),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 128)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Moodle,Moodle is not loading or running slowly? (instance 129),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 130),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 131),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Google Workspace,How do I share a document in Google Drive? (instance 132),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Google Workspace,How do I share a document in Google Drive? (instance 133),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Eduroam,Eduroam says the certificate is not trusted? (instance 134),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Google Workspace,How do I share a document in Google Drive? (instance 135),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Antivirus,My antivirus software won't update? (instance 136),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Teams,My Teams audio or video isn't working? (instance 137),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 138)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 139),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Virtual Labs,The virtual desktop is running slowly? (instance 140),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 141),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Antivirus,My antivirus software won't update? (instance 142),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Antivirus,My antivirus software won't update? (instance 143),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 144),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 145)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Eduroam,Eduroam says the certificate is not trusted? (instance 146),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Antivirus,My antivirus software won't update? (instance 147),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Moodle,Moodle is not loading or running slowly? (instance 148),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
VPN,My VPN won't connect off campus? (instance 149),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Virtual Labs,The virtual desktop is running slowly? (instance 150),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
Antivirus,My antivirus software won't update? (instance 151),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
VPN,My VPN won't connect off campus? (instance 152),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Canvas,Canvas won't show my grades? (instance 153),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Antivirus,My antivirus software won't update? (instance 154),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Teams,My Teams audio or video isn't working? (instance 155),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Canvas,Canvas won't show my grades? (instance 156),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
VPN,My VPN won't connect off campus? (instance 157),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
Moodle,I cannot log in to Moodle? (instance 158),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Eduroam,Eduroam says the certificate is not trusted? (instance 159),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 160),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Virtual Labs,The virtual desktop is running slowly? (instance 161),"Check your internet speed and close other bandwidth-heavy applications. For best performance, use a wired connection if possible."
Canvas,Canvas won't show my grades? (instance 162),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
Teams,My Teams audio or video isn't working? (instance 163),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Teams,My Teams audio or video isn't working? (instance 164),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Moodle,I cannot log in to Moodle? (instance 165),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Eduroam,Eduroam says the certificate is not trusted? (instance 166),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 167),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Eduroam,Eduroam says the certificate is not trusted? (instance 168),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Google Workspace,How do I share a document in Google Drive? (instance 169),"Right-click the file, select 'Share', enter the recipient's email, and set their permission (viewer, commenter, editor). Then click 'Send'."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 170)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Eduroam,Eduroam says the certificate is not trusted? (instance 171),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Accounts,My university account is locked out? (instance 172),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Antivirus,My antivirus software won't update? (instance 173),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 174),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Antivirus,My antivirus software won't update? (instance 175),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Teams,My Teams audio or video isn't working? (instance 176),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Eduroam,Eduroam says the certificate is not trusted? (instance 177),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Moodle,I cannot log in to Moodle? (instance 178),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Moodle,Moodle is not loading or running slowly? (instance 179),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Scam Protection,I received an email asking for my password with a university logo. Is it legitimate? (instance 180),This is likely a phishing attempt. Do NOT provide credentials. Report the email to IT security and delete it.
Accounts,My university account is locked out? (instance 181),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Moodle,I cannot log in to Moodle? (instance 182),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Connectivity,"Wi-Fi keeps disconnecting on campus, what should I try? (instance 183)","Move closer to a campus access point or reconnect to the network. Ensure your wireless adapter drivers are updated. If it continues, report the issue to IT."
Antivirus,My antivirus software won't update? (instance 184),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Moodle,I cannot log in to Moodle? (instance 185),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
Accounts,My university account is locked out? (instance 186),"Accounts lock out for security if there are too many failed attempts. Wait 15 minutes and try again, or contact IT to unlock it."
Antivirus,My antivirus software won't update? (instance 187),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Canvas,Canvas won't show my grades? (instance 188),Your instructor may need to publish the grades first. Check with your professor to ensure grades are posted.
RDP Setup,Remote Desktop to my campus PC fails to connect? (instance 189),Confirm the campus PC is powered on and that you have the correct IP or hostname. Make sure you're on the campus network or VPN and RDP is enabled on that PC.
Eduroam,Eduroam says the certificate is not trusted? (instance 190),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Teams,My Teams audio or video isn't working? (instance 191),"Check that your camera and microphone are connected and not muted. Verify the device settings in Teams. If still not working, restart the app or your device."
Moodle,Moodle is not loading or running slowly? (instance 192),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Eduroam,Eduroam says the certificate is not trusted? (instance 193),"Download and install the university's CA certificate from the IT website, or accept the prompt if it matches the university name. Contact IT if you're unsure."
Moodle,Moodle is not loading or running slowly? (instance 194),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Antivirus,My antivirus software won't update? (instance 195),"Check your internet connection and restart the antivirus program. If it still fails, reinstall the antivirus or contact IT to check your license."
Moodle,Moodle is not loading or running slowly? (instance 196),"Try clearing your browser cache or using a different browser. If the issue continues, check for network problems or contact technical support."
Moodle,I cannot log in to Moodle? (instance 197),"Check that you are using the correct username and password. Try resetting your password via the self-service portal. If it still doesn't work, contact the IT help desk."
VPN,My VPN won't connect off campus? (instance 198),"Check your internet connection first. Try a different VPN server location or restart the client. If it still fails, contact IT for support."
